rouge1,rouge2,rogueL,rogueLs,chrf
0.26666666666666666,0.054794520547945195,0.18666666666666668,0.18666666666666668,30.858354286326772
0.15151515151515152,0.0,0.06060606060606061,0.06060606060606061,24.320224185478033
0.11864406779661017,0.0,0.05084745762711864,0.05084745762711864,17.342610601609536
0.2195121951219512,0.0,0.12195121951219512,0.12195121951219512,26.97677802130244
0.24390243902439024,0.09999999999999999,0.17073170731707318,0.17073170731707318,32.77907451061803
0.15,0.0,0.075,0.075,22.457779872246324
0.1408450704225352,0.0,0.08450704225352114,0.08450704225352114,23.420797372228563
0.2028985507246377,0.059701492537313425,0.08695652173913045,0.08695652173913045,31.34448843995082
0.19047619047619047,0.024390243902439025,0.11904761904761905,0.11904761904761905,29.950469264178032
0.25641025641025644,0.06956521739130433,0.15384615384615383,0.15384615384615383,35.31296367941208
0.2033898305084746,0.0,0.13559322033898308,0.13559322033898308,23.908208354550762
0.1,0.0,0.1,0.1,22.01122520511549
0.15624999999999997,0.0,0.09374999999999999,0.09374999999999999,26.711610872386366
0.18604651162790697,0.02380952380952381,0.06976744186046512,0.06976744186046512,22.746860419799635
0.11594202898550723,0.0,0.08695652173913043,0.08695652173913043,21.14947141467187
0.21333333333333335,0.0,0.08,0.08,30.14797536334248
0.3206106870229007,0.17054263565891473,0.1984732824427481,0.1984732824427481,41.84731489573687
0.07228915662650602,0.0,0.07228915662650602,0.07228915662650602,20.958531952187716
0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,24.929424987845906
0.32941176470588235,0.1686746987951807,0.2588235294117647,0.2588235294117647,40.91683073697639
0.20253164556962028,0.025974025974025976,0.07594936708860758,0.07594936708860758,28.676025238533903
0.2597402597402597,0.0,0.12987012987012986,0.12987012987012986,26.53887462100758
0.13157894736842105,0.0,0.07894736842105264,0.07894736842105264,23.395317659904823
0.1951219512195122,0.024999999999999998,0.12195121951219512,0.12195121951219512,28.927656202425407
0.25974025974025977,0.026666666666666665,0.12987012987012989,0.12987012987012989,32.97894991310561
0.11267605633802816,0.0,0.08450704225352113,0.08450704225352113,27.748029835878413
0.32167832167832167,0.0425531914893617,0.16783216783216784,0.16783216783216784,28.98547866618336
0.16,0.0273972602739726,0.10666666666666667,0.10666666666666667,25.55615920940319
0.1739130434782609,0.0,0.14492753623188404,0.14492753623188404,30.69303504771108
